PLMN;countycode;carriername;url;bundlename
20221;GR;Cell Mobile;;;
20403;NL;Enreach;https://www.enreach.com/;;
20407;NL;Teleena;https://www.tatacommunications.com;;
20409;NL;Lycamobile;https://www.lycamobile.nl/;;
20417;NL;Lebara;https://www.lebara.nl/;;
20603;BE;Citymesh Connect;https://www.citymesh.be/;20613/20603;
20613;BE;Citymesh Connect;https://www.citymesh.be/;20613/20603;
20804;FR;Nexera;;;
20817;FR;LEGOS;https://legos.io/;;
20822;FR;Transatel Mobile;https://www.transatel.com;;
20825;FR;LycaMobile;https://www.lycamobile.fr/;;
20828;FR;AIF;https://airmob.net;;
20834;FR;Cellhire;https://www.cellhire.com/;;
20837;FR;IP Directions;https://ipdirections.net;
20838;FR;Lebara;https://www.lebara.fr/;;
20839;FR;Netwo;https://www.netwo.io/;;
21402;ES;Cube Móvil;https://www.cubemovil.es/;;
21405;ES;Carrier;https://www.movistar.es;;
21410;ES;Carrier;http://www.orange.es/;;
21414;ES;Avatel;https://avatel.es;;
21422;ES;DIGI mobil;https://www.digimobil.es;;
21434;ES;Aire;https://airetech.es;;
22233;IT;PosteMobile;https://www.postemobile.it;;
22235;IT;Lycamobile;https://www.lycamobile.it/;;
22249;IT;Vianova;https://www.vianova.it;;
22253;IT;CoopVoce;https://www.coopvoce.it;;
22254;IT;Plintron;https://plintron.com/italy/;;
22256;IT;spusu;https://www.spusu.it;;
22854;CH;Lycamobile;https://www.lycamobile.ch/;;
22858;CH;beeone;https://www.beeone.ch;;
22865;CH;Nexphone;https://www.nexphone.ch;;
22869;CH;MTEL;https://mtel.ch/;;
22871;CH;spusu;https://www.spusu.ch/;;
22872;CH;SolNet;https://www.solnet.ch;;
22873;CH;iWay;https://www.iway.ch;;
22874;CH;net+;https://www.netplus.ch/fr;;
23103;SK;4ka;https://www.4ka.sk;;
23208;AT;Lycamobile;https://www.lycamobile.at/;;
23217;AT;spusu;https://www.spusu.at;;
23220;AT;m:tel;https://mtel.at;;
23229;AT;aicall;https://www.aicall.at;;
23405;GB;Spitfire;https://www.spitfire.co.uk;;
23427;GB;Teleena;https://www.tatacommunications.com;;
23440;GB;spusu;https://www.spusu.co.uk;;
23487;GB;Lebara;https://www.lebara.co.uk/;;
23812;DK;Lycamobile;https://www.lycamobile.dk/;;
24012;SE;Lycamobile;https://www.lycamobile.se/;;
24209;NO;Com4;https://www.com4.no/;;
24223;NO;Lycamobile;https://www.lyca-mobile.no/;;
25915;MD;IDC;https://idc.md/;;
26009;PL;Lycamobile;https://www.lycamobile.pl/;;
26214;DE;Airdata;https://www.airdata.ag;;
26220;DE;Enreach;https://enreach.de/;;
26221;DE;spusu;https://www.spusu.de;;
26222;DE;sipgate;https://www.sipgate.de;;
26224;DE;TelcoVillage;https://www.telcovillage.com;;
26225;DE;MTEL;https://www.mtelgermany.de;;
26243;DE;Lycamobile;https://www.lycamobile.de/;;
26804;PT;LycaMobile;https://www.lycamobile.pt/;;
27213;IE;Lycamobile;https://www.lycamobile.ie/;;
28022;CY;lemontel;http://lemontel.com.cy;;
28613;TR;Netgsm;https://www.netgsm.com.tr;
28622;TR;;;;
37005;DO;Wind;https://www.wind.com.do;;
41750;SY;Rcell;https://rcell.me/;;
41892;IQ;Omnnea;https://alkafeelomnnea.com/;;
41909;KW;;;;
42005;SA;Virgin Mobile;http://virginmobile.sa/;;
42006;SA;Lebara Mobile;https://lebara.sa;;
42521;IL;Xphone;https://xphone.co.il;;
42526;IL;Annatel;https://www.annatel.co.il;;
42833;MN;ONDO;https://ondo.mn;;
45707;LA;Best;https://besttelecom.la/;;
47004;BD;Teletalk;https://www.teletalk.com.bd/;;
50588;AU;Pivotel;https://www.pivotel.com.au;;
52510;SG;SIMBA;https://simba.sg;;
54705;PF;Ora;https://www.ora.pf;;
54715;PF;Vodafone;https://www.vodafone.pf;;
55299;PW;PMCI;https://pmci.pw;;
60600;LY;Libyana;https://libyana.ly;;
60703;GM;Comium;https://comium.gm;;
61908;SL;Smart Mobile;http://www.smart.sl;;
63517;RW;KTRN;https://www.ktrn.rw;;
63601;ET;MTN;https://www.ethiotelecom.et;;
64104;UG;Tangerine;http://tangerine.co.ug;;
65001;MW;TNM;https://www.tnm.co.mw;;
65102;LS;Econet Telecom;https://www.etl.co.ls;;
65508;ZA;Cell C;http://www.cellc.co.za/support/setup/iphone;CellC_za;
65538;ZA;rain;https://www.rain.co.za;65538/65573/65574;
65573;ZA;rain;https://www.rain.co.za;65538/65573/65574;
65574;ZA;rain;https://www.rain.co.za;65538/65573/65574;
72417;BR;Surf Telecom;https://www.surf.com.br/;;
72429;BR;Unifique;https://unifique.com.br;;
72477;BR;Brisanet;https://www.brisanet.com.br;;
73402;VE;Digitel;https://www.digitel.com.ve;;
74002;EC;CNT Mobile;http://www.cnt.gob.ec;;
208091;FR;;;;
214003;ES;;;;
255702;UA;J&W;;;
302150;CA;Cogeco;https://www.cogeco.ca/en;;
302330;CA;Openmobile;https://www.openmobile.ca;;
302340;CA;Execulink;https://www.execulink.ca/;;
302620;CA;ICE Wireless;https://www.icewireless.com;;
310040;US;Mobi;http://mobi.com;Mobi;
310320;US;Cellular One;https://mycellularone.com;;
310340;US;Limitless Mobile;https://limitlessmobile.com;310340/310690/311600/312180;
310420;US;World Mobile;https://worldmobile.io;;
310690;US;Limitless Mobile;https://limitlessmobile.com;310340/310690/311600/312180;
310990;US;Evolve Broadband;https://evolvebroadband.com;;
311080;US;Pine Cellular;https://www.pinecellular.com;;
311210;US;Telnyx;https://telnyx.com;;
311240;US;Cordova;https://ctcak.net/;;
311500;US;Mobi;http://mobi.com;Mobi;
311530;US;WorldCell;http://www.worldcell.com;;
311560;US;OTZ Cellular;https://otz.net;;
311600;US;Limitless Mobile;https://limitlessmobile.com;310340/310690/311600/312180;
311670;US;Pine Belt Wireless;https://pinebelt.net;;
312180;US;Limitless Mobile;https://limitlessmobile.com;310340/310690/311600/312180;
312720;US;Southern LINC;https://www.southernlinc.com;;
